Restaurant ID,Longitude,Latitude
6317637,121.027535,14.565443
6304287,121.014101,14.553708
6300002,121.056831,14.581404
6318506,121.056475,14.585318
6314302,121.057508,14.58445
18189371,121.056314,14.583764
6300781,120.9796667,14.53133333
6301290,120.9793333,14.54
6300010,120.98009,14.55299
6314987,121.056532,14.572041
6309903,121.057916,14.567689
6309455,121.06082,14.570849
6318433,121.075419,14.649503
6310470,121.0335917,14.59345
6314605,121.03811,14.59889
18185059,121.05704,14.237082
18182702,121.0565874,14.23767897
6318213,120.951589,14.101834
18255654,121.045878,14.55436
6308205,121.04622,14.549337
6315438,121.053725,14.545858
6310406,121.0534998,14.54565535
6600681,-47.88178889,-15.76414167
6601005,-47.88266667,-15.7775
6600292,-47.88213611,-15.75747222
6600441,-47.88816667,-15.75883333
6600970,-47.91566667,-15.83116667
6600379,-47.91566667,-15.831
6600214,-47.9075,-15.82
6601218,-47.91016667,-15.82733333
6600060,-47.89016667,-15.797
6600083,-47.92366667,-15.83133333
6601515,-48.019,-15.83716667
6601361,-48.01909167,-15.839775
6601602,-48.01666667,-15.83483333
6601589,-47.889,-15.7865
6601862,-47.872359,-15.860621
6601595,-47.95628333,-15.83451389
6601158,-47.87283333,-15.82566667
6600427,-47.8685,-15.819
6600116,-47.885812,-15.720118
6601457,-47.92102778,-15.79753056
7303219,-43.377,-23.0115
7304307,-43.178826,-22.905293
7301215,-43.18669167,-22.97207222
7300596,-43.17583333,-22.96216667
7300612,-43.176,-22.96516667
7300704,-43.191,-22.98683333
7300955,-43.227042,-22.973507
7300521,-43.211425,-22.98520833
7300515,-43.203,-22.98533333
7300483,-43.20520833,-22.98531944
7301064,-43.219563,-22.966647
7304312,-43.34879167,-22.99991111
7300004,-43.227,-22.98416667
7300868,-43.22566667,-22.98516667
7302637,-43.17279167,-22.963925
7302140,-43.17126389,-22.96337222
7305048,-43.341164,-22.870413
7302898,-43.18736944,-22.92481389
7302859,-43.21551111,-22.91370833
7301700,-43.16266667,-22.94783333
6706313,-46.64516667,-23.55066667
6704326,-46.64633333,-23.559
6711179,-46.65866667,-23.55616667
6702797,-46.657523,-23.55671
6700475,-46.666851,-23.581688
6713413,-46.67511,-23.582135
6714340,-46.683888,-23.585324
6710645,-46.67566667,-23.581
6700402,-46.666041,-23.561568
6700846,-46.657418,-23.571638
6702159,-46.66983333,-23.5655
6711666,-46.67133333,-23.59233333
6701257,-46.68133333,-23.56483333
6706211,-46.64159444,-23.54664167
6705858,-46.643425,-23.545163
6701419,-46.63716667,-23.5995
6703956,-46.698574,-23.622925
6709580,-46.581672,-23.486535
6703176,-46.63566667,-23.58516667
6713772,-46.746958,-23.609207
17284404,-84.221535,31.610387
17284203,-84.207095,31.608743
17284105,-84.154,31.5772
17284302,-84.2194,31.6158
17284397,-84.206944,31.622412
17284211,-84.1759,31.5882
17284094,-84.2193,31.616
17284409,-84.2091458,31.6155186
17284139,-84.205718,31.604905
17284403,-84.223278,31.612121
17284145,-84.2191,31.6156
17284150,-84.212,31.6104
17284158,-84.1534,31.5751
17284175,-84.2228,31.6077
17284179,-84.2229,31.6185
17284197,-84.2164,31.6137
17284241,-84.2233,31.6118
17284390,-84.205025,31.605882
17284279,-84.1757,31.5985
17284364,-83.8389,31.5308
16611114,151.6688792,-30.5147169
17293281,-83.378273,33.957999
17293301,-83.3654,33.9535
17293409,-83.4293,33.9652
17293163,-83.3389,33.9259
17293228,-83.375523,33.958198
17293880,-83.384004,33.959392
17293169,-83.3797,33.9584
17293186,-83.373596,33.958112
17293180,-83.33995,33.924275
17293205,-83.3872482,33.9415545
17293229,-83.381625,33.960112
17293897,-83.400887,33.963296
17293273,-83.4075,33.9584
17293870,-83.379251,33.957503
17293877,-83.383605,33.960571
17293890,-83.37967,33.959468
17293915,-83.38728,33.937502
17293422,-83.3764,33.9584
17293873,-83.378881,33.958363
17294014,-83.3828224,33.9600227
17294556,-82.0865,33.4721
17294607,-82.0698,33.4791
17294279,-81.97,33.4765
17294300,-81.9684,33.474
17295215,-81.973006,33.477444
17295028,-81.965571,33.481779
17294642,-82.0327,33.4086
17295109,-81.974944,33.478231
17294441,-82.096,33.4827
17294552,-81.9721,33.4778
17294565,-81.9694,33.4764
17294623,-82.0505,33.5133
17294712,-82.0301,33.4848
17295033,-82.080788,33.467201
17295069,-82.0805493,33.5375868
17294261,-82.143793,33.544342
17295115,-82.126161,33.532249
17294836,-82.141284,33.521291
17294850,-82.1328,33.5406
17294883,-82.1997,33.4574
16608864,115.9844924,-33.7845269
16604911,146.685852,-36.360439
17303465,-116.2019,43.6138
17303642,-116.203466,43.616068
17303670,-116.2023,43.6149
17303545,-116.2064,43.6157
17303655,-116.2031,43.614
17304691,-116.185034,43.597235
17303478,-116.2062,43.5945
17303480,-116.2022,43.6167
17304733,-116.193409,43.610279
17303646,-116.2625,43.6192
17304929,-116.202845,43.616295
17303684,-116.199,43.615
17303772,-116.2463,43.6191
17305123,-116.245165,43.6051379
17303787,-116.2021,43.6162
17303990,-116.2031,43.6156
17304741,-116.281809,43.619274
17304726,-116.280614,43.591706
17304486,-116.347304,43.619108
17304533,-116.5629,43.5777
17316233,-91.6336,42.0179
17315883,-91.6327,42.0281
17315995,-91.7148,41.9748
17316018,-91.6224,42.0249
17316038,-91.6347,42.01
17316771,-91.6499622,42.0215347
17316201,-91.7266,41.9639
17316208,-91.6394,42.0468
17316389,-91.569767,41.670466
17316278,-91.5687,41.6685
17316744,-91.534424,41.660982
17316751,-91.531414,41.663849
17316766,-91.531093,41.663751
17316743,-91.534302,41.658691
17316374,-91.5314,41.6648
17316381,-91.5341,41.661
17316802,-91.482165,41.667742
17316416,-91.5318,41.6625
17316449,-91.5074,41.6428
17316603,-91.5995,42.0331
16659169,-82.188438,42.397683
17558684,-123.368151,46.126967
18366580,-114.472474,51.183934
17330755,-84.992671,32.470315
17330611,-84.95591,32.519247
17330609,-84.927047,32.555591
17330024,-84.9436,32.5577
17330074,-84.9936,32.4656
17330185,-84.954984,32.5382197
17330397,-84.9876,32.4637
17330735,-84.9933631,32.4652417
17330676,-84.96661,32.534002
17330048,-84.95367,32.513154
17330604,-84.947569,32.504657
17330087,-84.9607,32.5393
17330137,-84.9464,32.4792
17330155,-84.9427,32.481
17330309,-84.9557,32.5321
17330311,-84.992093,32.466158
17330615,-84.938698,32.560905
